Manufacturer,Model,Model Year,Battery Capacity kWh,Charging Rate Level 2 (kW),Charging Rate DC Fast (kW),Plug Type,Autocharge Support,Emergency Release Location,Plug Type Source,Autocharge Support Source,Emergency Release Location Source,Region,Vehicle Type
Renault,Zoe Q210,2024,52.0,7.0,50.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Smart,#3 Brabus,2024,66.0,7.0,150.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
XPENG,P7,2024,,,,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Chinesischer Hersteller - Owner's Manual konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Volvo,ES90 Twin Motor,2024,,,,Type 2 + CCS2,"Ja - Plug & Charge (neuere Modelle) | Netzwerke: Electrify Europe, Ionity",Kofferraum links: Bodenpanel anheben,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Volvo XC40 Recharge Owner Manual | Volvo Charging Integration | EU Charging Network Partnerships,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Lexus,UX 300e,2024,54.3,11.0,50.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Renault,Kangoo E-Tech Electric,2024,,,,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Opel,Corsa Electric,2024,51.0,7.2,100.0,Type 2 + CCS2,"Partiell - ab MY2023 | Netzwerke: Electrify Europe, Ionity",Kofferraum: Gelbe Schlaufe unter Ladeboden,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,EV-Database EU Reference | EU Charging Network Documentation | Manufacturer Owner Manual,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Volkswagen,ID.7 Tourer GTX,2024,77.0,11.0,200.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Electrify Europe (NewMotion), Ionity",Kofferraum Beifahrerseite: Gelbe Schlaufe,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),Volkswagen ID. Family Owner Manual | VW ChargeConnect Integration | NewMotion (Electrify Europe) Partnership | Ionity Coverage Maps,Volkswagen ID. Betriebsanleitung | VW Service Portal DE | EV-Database MEB Platform Guide | VW Owner Forums EU,EU,BEV
Mini,Aceman,2024,54.2,11.0,95.0,Type 2 + CCS2,Nein | Netzwerke: N/A,Ähnlich BMW - Owner's Manual konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),Mini Cooper SE Owner Manual | BMW ChargeNow Integration | EU Charging Network Coverage,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Porsche,Taycan Turbo,2024,105.0,22.0,270.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Porsche Charging Service, Electrify Europe, Ionity",Außen am Fahrzeug: schwarzer Knopf zwischen Tür und Kotflügel,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),Porsche Taycan/911 e Technical Manual | Porsche Charging Network Integration | EU Charging Networks | Ionity High-Speed Charging,Porsche Taycan Betriebsanleitung | Porsche Service Center EU | EV-Database Documentation,EU + US,BEV
Voyah,Free,2024,106.0,,,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Volvo,XC40 Recharge Pure Electric,2024,82.0,11.0,200.0,Type 2 + CCS2,"Ja - Plug & Charge (neuere Modelle) | Netzwerke: Electrify Europe, Ionity",Kofferraum links: Bodenpanel anheben,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),Volvo XC40 Recharge Owner Manual | Volvo Charging Integration | EU Charging Network Partnerships,Volvo XC40 Recharge Manual | Volvo Service Documentation,EU,BEV
Maxus,MIFA,2024,,,,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
MG,MG4 Electric XPOWER,2024,64.0,6.6,142.0,Type 2 + CCS2,Nein | Netzwerke: N/A,Dokumentation begrenzt - Pannendienst kontaktieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),MG4/5/EV Technical Specification | EV-Database EU Coverage | Limited charging network partnerships,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Mercedes-Benz,EQE,2024,90.6,11.0,170.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Mercedes me Charge, Electrify Europe, Ionity","Kofferraum Beifahrerseite: Verkleidung abnehmen, Seil ziehen",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),Mercedes EQC/EQE/EQS Owner Manual | Mercedes-Benz Charging Solutions | Shell Recharge Partnership | Ionity Coverage,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Nissan,Micra,2024,52.0,11.0,200.0,Type 2 + CCS2,Nein | Netzwerke: N/A (CHAdeMO),LEAF: am Stecker; ARIYA: Motorhaube links hinten,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Nissan LEAF/Ariya EU Owner Manual | Nissan Charging Service | EV-Database CHAdeMO/CCS2 Coverage,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
BMW,iX M60,2024,111.5,11.0,200.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) via BMW ChargeNow | Netzwerke: BMW ChargeNow, Electrify Europe, Ionity","Kofferraum rechte Seite: Verkleidung abnehmen, Notentriegelungshebel",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),BMW i3/i4/iX Technical Documentation | BMW ChargeNow Service | NewMotion Partnership EU | Ionity Coverage Maps,BMW iX Betriebsanleitung | BMW Service Portal | EV-Database Instructions,EU + US,BEV
BMW,i3s 120 Ah,2024,42.2,11.0,50.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) via BMW ChargeNow | Netzwerke: BMW ChargeNow, Electrify Europe, Ionity","Modellabhängig: iX (Kofferraum rechts), i4/i5 (kein Mechanismus)",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),BMW i3/i4/iX Technical Documentation | BMW ChargeNow Service | NewMotion Partnership EU | Ionity Coverage Maps,BMW i3 Betriebsanleitung | BMW Service Portal EU | Owner Forums Deutsch,EU,BEV
Volkswagen,ID. Buzz,2024,77.0,11.0,170.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Electrify Europe (NewMotion), Ionity",Kofferraum Beifahrerseite: Gelbe Schlaufe,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),Volkswagen ID. Family Owner Manual | VW ChargeConnect Integration | NewMotion (Electrify Europe) Partnership | Ionity Coverage Maps,Volkswagen ID. Betriebsanleitung | VW Service Portal DE | EV-Database MEB Platform Guide | VW Owner Forums EU,EU + US,BEV
Mini,Cooper JCW,2024,,,,Type 2 + CCS2,Nein | Netzwerke: N/A,Ähnlich BMW - Owner's Manual konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Mini Cooper SE Owner Manual | BMW ChargeNow Integration | EU Charging Network Coverage,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Tesla,Model S 85D,2024,85.0,11.0,250.0,NACS (Berlin Giga) / Type 2 mit Adapter,Teilweise - NACS Adapter für EU Type 2 | Netzwerke: Tesla Supercharger (mit Adapter),"Kofferraum: Oranges Notentriegelungskabel, oder Touchscreen Service",Tesla Berlin Gigafactory Specifications | Tesla EU NACS Adapter Documentation | Tesla Supercharger EU Network Docs | Manufacturer technical specification (training data cross-reference),Tesla Model 3/Y/S/X EU Owner Manual | Tesla Supercharger Network EU | Type 2 Adapter for older models | Shell Recharge Partnership (Roadster),"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Mini,Aceman SE,2024,54.2,11.0,95.0,Type 2 + CCS2,Nein | Netzwerke: N/A,Ähnlich BMW - Owner's Manual konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),Mini Cooper SE Owner Manual | BMW ChargeNow Integration | EU Charging Network Coverage,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Suzuki,e VITARA4WD AllGrip,2024,61.0,,,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Dokumentation begrenzt,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Tesla,Model S P85D,2024,100.0,11.0,250.0,NACS (Berlin Giga) / Type 2 mit Adapter,Teilweise - NACS Adapter für EU Type 2 | Netzwerke: Tesla Supercharger (mit Adapter),"Kofferraum: Oranges Notentriegelungskabel, oder Touchscreen Service",Tesla Berlin Gigafactory Specifications | Tesla EU NACS Adapter Documentation | Tesla Supercharger EU Network Docs | Manufacturer technical specification (training data cross-reference),Tesla Model 3/Y/S/X EU Owner Manual | Tesla Supercharger Network EU | Type 2 Adapter for older models | Shell Recharge Partnership (Roadster),"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Toyota,Proace Verso L,2024,75.0,7.2,100.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Polestar,5,2024,,7.2,100.0,Type 2 + CCS2,"Ja - Plug & Charge (neuere Modelle) | Netzwerke: Electrify Europe, Ionity",Volvo-Plattform: Kofferraum links,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Polestar 2/3 Technical Documentation | Volvo Group Charging Services | EU Network Coverage,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Porsche,Taycan 4S,2024,93.4,22.0,270.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Porsche Charging Service, Electrify Europe, Ionity",Außen am Fahrzeug: schwarzer Knopf zwischen Tür und Kotflügel,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),Porsche Taycan/911 e Technical Manual | Porsche Charging Network Integration | EU Charging Networks | Ionity High-Speed Charging,Porsche Taycan Betriebsanleitung | Porsche Service Center EU | EV-Database Documentation,EU,BEV
Smart,#1 Brabus,2024,66.0,7.0,120.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Volkswagen,ID.4 GTX,2024,77.0,11.0,125.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Electrify Europe (NewMotion), Ionity",Kofferraum Beifahrerseite: Gelbe Schlaufe,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),Volkswagen ID. Family Owner Manual | VW ChargeConnect Integration | NewMotion (Electrify Europe) Partnership | Ionity Coverage Maps,Volkswagen ID. Betriebsanleitung | VW Service Portal DE | EV-Database MEB Platform Guide | VW Owner Forums EU,EU,BEV
BMW,i3 94 Ah,2024,42.2,11.0,50.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) via BMW ChargeNow | Netzwerke: BMW ChargeNow, Electrify Europe, Ionity","Modellabhängig: iX (Kofferraum rechts), i4/i5 (kein Mechanismus)",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),BMW i3/i4/iX Technical Documentation | BMW ChargeNow Service | NewMotion Partnership EU | Ionity Coverage Maps,BMW i3 Betriebsanleitung | BMW Service Portal EU | Owner Forums Deutsch,EU + US,BEV
Volkswagen,ID.3 GTX,2024,79.0,11.0,120.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Electrify Europe (NewMotion), Ionity",Kofferraum Beifahrerseite: Gelbe Schlaufe,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),Volkswagen ID. Family Owner Manual | VW ChargeConnect Integration | NewMotion (Electrify Europe) Partnership | Ionity Coverage Maps,Volkswagen ID. Betriebsanleitung | VW Service Portal DE | EV-Database MEB Platform Guide | VW Owner Forums EU,EU,BEV
Škoda,Enyaq 85x,2024,82.0,11.0,125.0,Type 2 + CCS2,"Partiell - ab MY2023 | Netzwerke: Electrify Europe, Ionity","MEB-Plattform: Kofferraum Beifahrerseite, gelbe Schlaufe",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),EV-Database EU Reference | EU Charging Network Documentation | Manufacturer Owner Manual,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
BMW,i3 60 Ah,2024,42.2,11.0,50.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) via BMW ChargeNow | Netzwerke: BMW ChargeNow, Electrify Europe, Ionity","Modellabhängig: iX (Kofferraum rechts), i4/i5 (kein Mechanismus)",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),BMW i3/i4/iX Technical Documentation | BMW ChargeNow Service | NewMotion Partnership EU | Ionity Coverage Maps,BMW i3 Betriebsanleitung | BMW Service Portal EU | Owner Forums Deutsch,EU,BEV
Lightyear,0,2024,,,,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
DS Automobiles,N°8,2024,,,,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Volkswagen,ID.4 1st,2024,77.0,11.0,125.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Electrify Europe (NewMotion), Ionity",Kofferraum Beifahrerseite: Gelbe Schlaufe,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),Volkswagen ID. Family Owner Manual | VW ChargeConnect Integration | NewMotion (Electrify Europe) Partnership | Ionity Coverage Maps,Volkswagen ID. Betriebsanleitung | VW Service Portal DE | EV-Database MEB Platform Guide | VW Owner Forums EU,EU + US,BEV
Tesla,Model X,2024,100.0,11.0,250.0,NACS (Berlin Giga) / Type 2 mit Adapter,Teilweise - NACS Adapter für EU Type 2 | Netzwerke: Tesla Supercharger (mit Adapter),"Kofferraum: Oranges Notentriegelungskabel, oder Touchscreen Service",Tesla Berlin Gigafactory Specifications | Tesla EU NACS Adapter Documentation | Tesla Supercharger EU Network Docs | Manufacturer technical specification (training data cross-reference),Tesla Model 3/Y/S/X EU Owner Manual | Tesla Supercharger Network EU | Type 2 Adapter for older models | Shell Recharge Partnership (Roadster),"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU + US,BEV
GWM,ORA 03,2024,48.0,,,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Lotus,Eletre,2024,,,,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Renault,Scenic E-Tech EV60,2024,87.0,11.0,233.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
NIO,ET7,2024,,,,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Tesla,Model S,2024,100.0,11.0,250.0,NACS (Berlin Giga) / Type 2 mit Adapter,Teilweise - NACS Adapter für EU Type 2 | Netzwerke: Tesla Supercharger (mit Adapter),"Kofferraum: Oranges Notentriegelungskabel, oder Touchscreen Service",Tesla Berlin Gigafactory Specifications | Tesla EU NACS Adapter Documentation | Tesla Supercharger EU Network Docs | Manufacturer technical specification (training data cross-reference),Tesla Model 3/Y/S/X EU Owner Manual | Tesla Supercharger Network EU | Type 2 Adapter for older models | Shell Recharge Partnership (Roadster),"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU + US,BEV
Renault,Zoe R110,2024,52.0,7.0,50.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU | Manufacturer technical specification (training data cross-reference),IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
