# EV CHARGING DATABASE — EU+US 2024/2025
# Format: Region|Type|Model|Year|Battery(kWh)|AC_kW|DC_kW|Plug|Autocharge:Y/N/P/?|Emergency:…
# Autocharge: Y=yes N=no P=partial ?=unknown | Type: BEV=Battery Electric PHEV=Plug-in Hybrid | '-'=data unavailable

## ABARTH
EU|PHEV|Transit T150 Passenger Van 2WD FFV|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Transit T150 Passenger Van 4WD FFV|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Escape AWD HEV|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Escape FWD HEV|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Escape FWD PHEV|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Explorer AWD FFV|2020|77kWh|AC:11kW|DC:135kW|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Explorer HEV AWD|2020|77kWh|AC:11kW|DC:135kW|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Explorer HEV RWD|2020|77kWh|AC:11kW|DC:135kW|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|F-150 2WD|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|F-150 2WD/4WD|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|F-150 2WD FFV|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|F-150 4WD|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|F-150 4WD FFV|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|F-150 4WD XL/XLT|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Fusion Energi Plug in Hybrid FWD|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Fusion Hybrid FWD|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Fusion Hybrid TAXI|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Fusion Special Service PHEV|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Super Duty F-250|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Super Duty F-250 2WD/4WD|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Transit Cargo Van|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Transit Connect Van FFV|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Transit Connect Van/Wagon|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Transit Connect Wagon LWB FFV|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Transit Passenger Van|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Transit T150 Cargo Van 2WD FFV|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Transit T150 Cargo Van 4WD FFV|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Transit T150 Passenger Van 2WD FFV|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
EU|PHEV|Transit T150 Passenger Van 4WD FFV|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Flexibler Tab neben Ladeanschluss – Betriebsanleitung konsultieren
US|BEV|Escape FWD PHEV|2025|14.5kWh|AC:-|DC:-|J1772 (AC only)|Autocharge:Y|Emergency:PHEV – kein Verriegelungsmechanismus; Kabel einfach abziehen.
US|BEV|F150 Lightning 4WD Pro/ER1/Platinum|2025|165.2kWh|AC:-|DC:150kW|CCS1 + J1772|Autocharge:Y|Emergency:Frunk (Motorraum vorne): Mehrere redundante Entriegelungen vorhanden – App, Touchscreen, physischer Knopf und mechanische Notlösung im Frunk. Nur DC-Laden (CCS) ist verriegelt; AC-Laden (J1772) hat keine Verriegelung.
US|BEV|F150 Lightning 4WD SR|2025|124kWh|AC:-|DC:150kW|CCS1 + J1772|Autocharge:Y|Emergency:Frunk (Motorraum vorne): Mehrere redundante Entriegelungen vorhanden – App, Touchscreen, physischer Knopf und mechanische Notlösung im Frunk. Nur DC-Laden (CCS) ist verriegelt; AC-Laden (J1772) hat keine Verriegelung.
US|BEV|F150 Lightning 4WD|2024|124kWh|AC:-|DC:150kW|CCS1 + J1772|Autocharge:Y|Emergency:Frunk (Motorraum vorne): Mehrere redundante Entriegelungen vorhanden – App, Touchscreen, physischer Knopf und mechanische Notlösung im Frunk. Nur DC-Laden (CCS) ist verriegelt; AC-Laden (J1772) hat keine Verriegelung.
US|BEV|F150 Lightning 4WD Plat/Ext. Range|2024|165.2kWh|AC:-|DC:150kW|CCS1 + J1772|Autocharge:Y|Emergency:Frunk (Motorraum vorne): Mehrere redundante Entriegelungen vorhanden – App, Touchscreen, physischer Knopf und mechanische Notlösung im Frunk. Nur DC-Laden (CCS) ist verriegelt; AC-Laden (J1772) hat keine Verriegelung.
US|BEV|Mustang Mach-E AWD|2024|91.4kWh|AC:10.5kW|DC:115kW|CCS1 + J1772|Autocharge:Y|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E AWD Extended|2024|116.4kWh|AC:10.5kW|DC:115kW|CCS1 + J1772|Autocharge:Y|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E GT/Rally|2024|116.4kWh|AC:10.5kW|DC:115kW|CCS1 + J1772|Autocharge:Y|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E RWD|2024|116.4kWh|AC:10.5kW|DC:115kW|CCS1 + J1772|Autocharge:Y|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Escape FWD PHEV|2023|14kWh|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:PHEV – kein Verriegelungsmechanismus; Kabel einfach abziehen.
US|BEV|F150 Lightning 4WD|2023|123kWh|AC:-|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Frunk (Motorraum vorne): Mehrere redundante Entriegelungen vorhanden – App, Touchscreen, physischer Knopf und mechanische Notlösung im Frunk. Nur DC-Laden (CCS) ist verriegelt; AC-Laden (J1772) hat keine Verriegelung.
US|BEV|F150 Lightning 4WD Plat/Ext. Range|2023|165kWh|AC:-|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Frunk (Motorraum vorne): Mehrere redundante Entriegelungen vorhanden – App, Touchscreen, physischer Knopf und mechanische Notlösung im Frunk. Nur DC-Laden (CCS) ist verriegelt; AC-Laden (J1772) hat keine Verriegelung.
US|BEV|Mustang Mach-E AWD|2023|116kWh|AC:10.5kW|DC:115kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E AWD CAL RT 1/EXT|2023|116kWh|AC:10.5kW|DC:115kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E GT|2023|116kWh|AC:10.5kW|DC:115kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E RWD (incl. LFP)|2023|91kWh|AC:10.5kW|DC:115kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E RWD Extended|2023|116kWh|AC:10.5kW|DC:115kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Escape FWD PHEV|2022|-|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:PHEV – kein Verriegelungsmechanismus; Kabel einfach abziehen.
US|BEV|F150 Lightning 4WD|2022|-|AC:-|DC:-|CCS1 + J1772|Autocharge:N|Emergency:Frunk (Motorraum vorne): Mehrere redundante Entriegelungen vorhanden – App, Touchscreen, physischer Knopf und mechanische Notlösung im Frunk. Nur DC-Laden (CCS) ist verriegelt; AC-Laden (J1772) hat keine Verriegelung.
US|BEV|F150 Lightning 4WD Extended Range|2022|-|AC:-|DC:-|CCS1 + J1772|Autocharge:N|Emergency:Frunk (Motorraum vorne): Mehrere redundante Entriegelungen vorhanden – App, Touchscreen, physischer Knopf und mechanische Notlösung im Frunk. Nur DC-Laden (CCS) ist verriegelt; AC-Laden (J1772) hat keine Verriegelung.
US|BEV|F150 Lightning Platinum 4WD|2022|-|AC:-|DC:-|CCS1 + J1772|Autocharge:N|Emergency:Frunk (Motorraum vorne): Mehrere redundante Entriegelungen vorhanden – App, Touchscreen, physischer Knopf und mechanische Notlösung im Frunk. Nur DC-Laden (CCS) ist verriegelt; AC-Laden (J1772) hat keine Verriegelung.
US|BEV|Mustang Mach-E AWD|2022|72kWh|AC:10.5kW|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E AWD California Route 1|2022|72kWh|AC:10.5kW|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E AWD Extended|2022|72kWh|AC:10.5kW|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E GT AWD|2022|91kWh|AC:10.5kW|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E GT Performance|2022|91kWh|AC:10.5kW|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E RWD|2022|72kWh|AC:10.5kW|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E RWD California Route 1|2022|72kWh|AC:10.5kW|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E RWD Extended|2022|72kWh|AC:10.5kW|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Escape FWD PHEV|2021|-|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:PHEV – kein Verriegelungsmechanismus; Kabel einfach abziehen.
US|BEV|Mustang Mach-E AWD|2021|72kWh|AC:10.5kW|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E AWD Extended|2021|72kWh|AC:10.5kW|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E GT AWD|2021|91kWh|AC:10.5kW|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E GT AWD|2021|91kWh|AC:10.5kW|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E RWD|2021|72kWh|AC:10.5kW|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E RWD California Route 1|2021|72kWh|AC:10.5kW|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Mustang Mach-E RWD Extended|2021|72kWh|AC:10.5kW|DC:150kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (Heck): Gepäckraumabdeckungen entfernen, flexiblen Tab nahe Ladeanschluss drücken/ziehen. Beschrieben im Owner's Manual S. 164.
US|BEV|Escape FWD PHEV|2020|-|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:PHEV – kein Verriegelungsmechanismus; Kabel einfach abziehen.
US|BEV|F-150 2WD/4WD|2020|-|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
US|BEV|Fusion Energi Plug in Hybrid FWD|2020|-|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
US|BEV|Fusion Special Service PHEV|2020|-|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
US|BEV|Super Duty F-250 2WD/4WD|2020|-|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
US|BEV|Transit Cargo Van|2020|-|AC:-|DC:-|CCS1 + J1772|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
US|BEV|Transit Cargo Van|2020|-|AC:-|DC:-|CCS1 + J1772|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
US|BEV|Transit Passenger Van|2020|-|AC:-|DC:-|CCS1 + J1772|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
US|BEV|Transit Passenger Van|2020|-|AC:-|DC:-|CCS1 + J1772|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
US|BEV|F-150|2019|-|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
US|BEV|Fusion Energi Plug in Hybrid FWD|2019|-|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
US|BEV|Fusion Special Service Vehicle PHEV|2019|-|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
US|BEV|Super Duty F-250 2WD/4WD|2019|-|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
US|BEV|Transit Van/Wagon|2019|-|AC:-|DC:-|CCS1 + J1772 (oder CHAdeMO bei älteren Modellen)|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
US|BEV|Transit Van/Wagon|2019|-|AC:-|DC:-|CCS1 + J1772 (oder CHAdeMO bei älteren Modellen)|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
US|BEV|F-150|2018|-|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
US|BEV|Focus Electric FWD|2018|-|AC:-|DC:-|CCS1 + J1772 (oder CHAdeMO bei älteren Modellen)|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
US|BEV|Fusion Energi Plug in Hybrid|2018|-|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren.
## GMC
US|BEV|Hummer EV Pickup|2025|194.9kWh|AC:19.2kW|DC:300kW|CCS1 + J1772|Autocharge:P|Emergency:Motorhaube öffnen: Notentriegelungsseil im Motorraum (Ultium-Plattform). Genaue Position nicht öffentlich dokumentiert – Owner's Manual konsultieren.
US|BEV|Hummer EV Pickup|2025|194.9kWh|AC:19.2kW|DC:300kW|CCS1 + J1772|Autocharge:P|Emergency:Motorhaube öffnen: Notentriegelungsseil im Motorraum (Ultium-Plattform). Genaue Position nicht öffentlich dokumentiert – Owner's Manual konsultieren.
US|BEV|Hummer EV SUV|2025|194.9kWh|AC:19.2kW|DC:300kW|CCS1 + J1772|Autocharge:P|Emergency:Motorhaube öffnen: Notentriegelungsseil im Motorraum (Ultium-Plattform). Genaue Position nicht öffentlich dokumentiert – Owner's Manual konsultieren.
US|BEV|Hummer EV SUV|2025|194.9kWh|AC:19.2kW|DC:300kW|CCS1 + J1772|Autocharge:P|Emergency:Motorhaube öffnen: Notentriegelungsseil im Motorraum (Ultium-Plattform). Genaue Position nicht öffentlich dokumentiert – Owner's Manual konsultieren.
US|BEV|Sierra EV|2025|136.3kWh|AC:19.2kW|DC:350kW|CCS1 + J1772|Autocharge:P|Emergency:Motorhaube öffnen: Notentriegelungsseil im Motorraum (Ultium-Plattform). Genaue Position nicht öffentlich dokumentiert – Owner's Manual konsultieren.
US|BEV|Hummer EV Pickup|2024|199.1kWh|AC:19.2kW|DC:350kW|CCS1 + J1772|Autocharge:P|Emergency:Motorhaube öffnen: Notentriegelungsseil im Motorraum (Ultium-Plattform). Genaue Position nicht öffentlich dokumentiert – Owner's Manual konsultieren.
US|BEV|Hummer EV SUV|2024|199.1kWh|AC:19.2kW|DC:350kW|CCS1 + J1772|Autocharge:P|Emergency:Motorhaube öffnen: Notentriegelungsseil im Motorraum (Ultium-Plattform). Genaue Position nicht öffentlich dokumentiert – Owner's Manual konsultieren.
## GWM
EU|BEV|ORA 03|2024|48kWh|AC:-|DC:-|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|ORA 07|2024|-|AC:-|DC:-|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|ORA 07 Pure|2024|-|AC:-|DC:-|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
## GEELY
EU|BEV|EX5|2024|60.2kWh|AC:11kW|DC:160kW|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
## GENESIS
EU|PHEV|Electrified G80|2025|87.2kWh|AC:11kW|DC:230kW|Type 2 + CCS2|Autocharge:N|Emergency:Betriebsanleitung konsultieren
EU|PHEV|Electrified GV70|2025|77.4kWh|AC:11kW|DC:230kW|Type 2 + CCS2|Autocharge:N|Emergency:Betriebsanleitung konsultieren
EU|PHEV|G90 MHEV|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Betriebsanleitung konsultieren
EU|PHEV|GV60 Advanced/Performance|2025|77.5kWh|AC:11kW|DC:230kW|Type 2 + CCS2|Autocharge:N|Emergency:Betriebsanleitung konsultieren
EU|PHEV|GV60 RWD|2025|77.5kWh|AC:11kW|DC:230kW|Type 2 + CCS2|Autocharge:N|Emergency:Betriebsanleitung konsultieren
EU|PHEV|GV80 MHEV|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Betriebsanleitung konsultieren
EU|BEV|G80 Electrified|2024|87.2kWh|AC:11kW|DC:350kW|Type 2 + CCS2|Autocharge:Y|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|GV60 Pure|2024|77.4kWh|AC:11kW|DC:233kW|Type 2 + CCS2|Autocharge:Y|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|GV70 Electrified|2024|77.4kWh|AC:11kW|DC:350kW|Type 2 + CCS2|Autocharge:Y|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|GV60|2024|77.4kWh|AC:11kW|DC:233kW|Type 2 + CCS2|Autocharge:Y|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|PHEV|Electrified G70|2024|77kWh|AC:11kW|DC:230kW|Type 2 + CCS2|Autocharge:N|Emergency:Betriebsanleitung konsultieren
EU|PHEV|Electrified G80|2024|87kWh|AC:11kW|DC:230kW|Type 2 + CCS2|Autocharge:N|Emergency:Betriebsanleitung konsultieren
EU|PHEV|G90 MHEV|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Betriebsanleitung konsultieren
EU|PHEV|GV60 Advanced/Performance|2024|77kWh|AC:11kW|DC:230kW|Type 2 + CCS2|Autocharge:N|Emergency:Betriebsanleitung konsultieren
EU|PHEV|GV60 Standard|2024|77kWh|AC:11kW|DC:230kW|Type 2 + CCS2|Autocharge:N|Emergency:Betriebsanleitung konsultieren
EU|PHEV|Electrified G80|2023|87kWh|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Betriebsanleitung konsultieren
EU|PHEV|G90 MHEV|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Betriebsanleitung konsultieren
EU|PHEV|GV60 Advance|2023|77kWh|AC:11kW|DC:233kW|Type 2 (AC only)|Autocharge:N|Emergency:Betriebsanleitung konsultieren
EU|PHEV|GV60 Performance|2023|77kWh|AC:11kW|DC:233kW|Type 2 (AC only)|Autocharge:N|Emergency:Betriebsanleitung konsultieren
US|BEV|Electrified G80|2025|87.2kWh|AC:-|DC:230kW|CCS1 + J1772|Autocharge:Y|Emergency:Kofferraum (E-GMP-Plattform): Rechte Seitenwand, runde Abdeckkappe abziehen oder Dreh-/Zugmechanismus betätigen. Fahrzeug muss entsperrt sein.
US|BEV|Electrified GV70|2025|77.4kWh|AC:-|DC:230kW|CCS1 + J1772|Autocharge:Y|Emergency:Motorhaube öffnen: Rechte Seite des Motorraums, Entriegelungsknopf/-hebel suchen (abweichende Position gegenüber GV60/Ioniq-Serie).
US|BEV|GV60 Advanced/Performance|2025|77.5kWh|AC:11kW|DC:230kW|CCS1 + J1772|Autocharge:Y|Emergency:Kofferraum (E-GMP-Plattform): Rechte Seitenwand, runde Abdeckkappe abziehen oder Dreh-/Zugmechanismus betätigen. Fahrzeug muss entsperrt sein. Ca. 10–20 Sek. Zeitfenster zum Entfernen des Kabels.
US|BEV|GV60 RWD|2025|77.5kWh|AC:11kW|DC:230kW|CCS1 + J1772|Autocharge:Y|Emergency:Kofferraum (E-GMP-Plattform): Rechte Seitenwand, runde Abdeckkappe abziehen oder Dreh-/Zugmechanismus betätigen. Fahrzeug muss entsperrt sein. Ca. 10–20 Sek. Zeitfenster zum Entfernen des Kabels.
US|BEV|Electrified G70|2024|77kWh|AC:-|DC:230kW|CCS1 + J1772|Autocharge:Y|Emergency:E-GMP-Plattform (GV60, Electrified G80): Kofferraum rechte Seite, Dreh-/Zugmechanismus. GV70 Electrified: Motorhaube, rechte Seite. Fahrzeug muss entsperrt sein.
